941:36-941:45 | ArithmeticOperator | Survived | "a.y - b.y"
959:7-959:43 | ConditionalExpression | Survived | "false"
959:36-959:43 | StringLiteral | Survived | "\"\""
962:7-962:25 | ConditionalExpression | Survived | "false"
962:7-962:25 | EqualityOperator | Survived | "pointers.size > 2"
963:7-963:19 | ConditionalExpression | Survived | "false"
963:21-968:4 | BlockStatement | Survived | "{}"
967:9-967:68 | ConditionalExpression | Survived | "true"
967:9-967:68 | ConditionalExpression | Survived | "false"
988:7-990:4 | BlockStatement | Survived | "{}"
989:5-989:74 | OptionalChaining | Survived | "(event.target as Element).setPointerCapture(pointerEvent.pointerId)"
994:30-994:56 | OptionalChaining | Survived | "zoomOptions.pinch.enabled"
1002:21-1002:26 | BooleanLiteral | Survived | "true"
1004:14-1004:63 | ConditionalExpression | Survived | "true"
1004:14-1004:63 | LogicalOperator | Survived | "pointers.size === 1 || state.options.pan?.enabled"
1004:14-1004:33 | ConditionalExpression | Survived | "true"
1004:37-1004:63 | OptionalChaining | RuntimeError | "state.options.pan.enabled"
1012:7-1012:43 | ConditionalExpression | Survived | "false"
1012:36-1012:43 | StringLiteral | Survived | "\"\""
1015:7-1015:44 | ConditionalExpression | Survived | "false"
1020:7-1020:41 | LogicalOperator | RuntimeError | "pointers.size === 2 || state.pinch"
1020:7-1020:26 | ConditionalExpression | Survived | "true"
1025:9-1025:37 | ConditionalExpression | Survived | "true"
1025:9-1025:37 | EqualityOperator | Survived | "state.pinch.lastDistance >= 0"
1027:76-1027:82 | StringLiteral | Survived | "\"\""
1033:7-1033:57 | ConditionalExpression | Survived | "false"
1033:7-1033:26 | ConditionalExpression | Survived | "false"
1033:7-1033:57 | LogicalOperator | Survived | "pointers.size !== 1 && !state.options.pan?.enabled"
1033:31-1033:57 | OptionalChaining | Survived | "state.options.pan.enabled"
1036:9-1036:24 | ConditionalExpression | RuntimeError | "false"
1038:9-1038:57 | EqualityOperator | Survived | "getDistance(state.panStart, current) <= threshold"
1039:39-1039:87 | ArrayDeclaration | Survived | "[]"
1039:40-1039:86 | ObjectLiteral | Survived | "{}"
1040:40-1040:72 | ArrayDeclaration | Survived | "[]"
1040:41-1040:71 | ObjectLiteral | Survived | "{}"
